"","superkingdom","phylum","class","order","family","genus","species"
"species-Blastocystis_sp._subtype_1","Eukaryota",NA,"Bigyra","Opalinata","Blastocystidae","Blastocystis","Blastocystis sp. subtype 1"
"species-Bifidobacterium_angulatum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium angulatum"
"species-Prevotella_timonensis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella timonensis"
"species-Butyrivibrio_crossotus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio crossotus"
"species-Limosilactobacillus_vaginalis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus vaginalis"
"species-Ligilactobacillus_ruminis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus ruminis"
"species-Weissella_confusa","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella confusa"
"species-Streptococcus_mutans","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans"
"species-Clostridium_celatum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium celatum"
"species-Streptococcus_australis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus australis"
"species-Streptococcus_sanguinis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sanguinis"
"species-Schaalia_turicensis","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia turicensis"
"species-Peptoniphilus_duerdenii","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus duerdenii"
"species-Clostridium_baratii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium baratii"
"species-Streptococcus_sp._F0442","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. F0442"
"species-Prevotella_sp._CAG-520","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. CAG:520"
"species-Cronobacter_sakazakii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter sakazakii"
"species-Actinomyces_urogenitalis","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces urogenitalis"
"species-Actinomyces_graevenitzii","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces graevenitzii"
"species-Parvimonas_sp._oral_taxon_110","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas","Parvimonas sp. oral taxon 110"
"species-Eikenella_corrodens","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella","Eikenella corrodens"
"species-Parvimonas_sp._oral_taxon_393","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas","Parvimonas sp. oral taxon 393"
"species-Anaerococcus_vaginalis","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus vaginalis"
"species-Gemella_asaccharolytica","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella asaccharolytica"
"species-Lachnospiraceae_bacterium_2_1_46FAA","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae",NA,"Lachnospiraceae bacterium 2_1_46FAA"
"species-Veillonella_sp._CAG-933","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella sp. CAG:933"
"species-Lacticaseibacillus_rhamnosus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lacticaseibacillus rhamnosus"
"species-Campylobacter_upsaliensis","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter upsaliensis"
"species-Lachnospiraceae_bacterium_oral_taxon_096","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae",NA,"Lachnospiraceae bacterium oral taxon 096"
"species-Campylobacter_gracilis","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter gracilis"
"species-Gemmiger_sp._An50","Bacteria","Firmicutes","Clostridia","Eubacteriales",NA,"Gemmiger","Gemmiger sp. An50"
"species-Scardovia_wiggsiae","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Scardovia","Scardovia wiggsiae"
"species-Limosilactobacillus_reuteri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus reuteri"
"species-Enterococcus_avium","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus avium"
"species-Enterococcus_thailandicus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus thailandicus"
"species-Paucilactobacillus_vaccinostercus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Paucilactobacillus","Paucilactobacillus vaccinostercus"
"species-Enterococcus_casseliflavus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus casseliflavus"
"species-Bifidobacterium_pullorum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pullorum"
"species-Actinomyces_sp._oral_taxon_180","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 180"
"species-Enterococcus_sp._3H8_DIV0648","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus sp. 3H8_DIV0648"
"species-Enterococcus_gallinarum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus gallinarum"
"species-Bifidobacterium_pullorum_1","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pullorum"
"species-Bifidobacterium_pullorum_2","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pullorum"
"species-Varibaculum_cambriense","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Varibaculum","Varibaculum cambriense"
"species-Veillonella_rodentium","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella rodentium"
"species-Lactobacillus_crispatus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus crispatus"
"species-Lawsonella_clevelandensis","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Lawsonellaceae","Lawsonella","Lawsonella clevelandensis"
"species-Porphyromonas_sp._HMSC065F10","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas sp. HMSC065F10"
"species-Citrobacter_werkmanii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter werkmanii"
"species-Lactobacillus_johnsonii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii"
"species-Sarcina_ventriculi","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Sarcina","Sarcina ventriculi"
"species-Streptococcus_macedonicus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus macedonicus"
"species-Klebsiella_variicola_CAG-634","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella variicola CAG:634"
"species-Phytobacter_palmae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Phytobacter","Phytobacter palmae"
"species-Enterococcus_raffinosus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus raffinosus"
"species-Prevotella_amnii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella amnii"
"species-Catenibacterium_mitsuokai","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium","Catenibacterium mitsuokai"
"species-Saccharomyces_cerevisiae","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae"
"species-Eubacterium_limosum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium limosum"
"species-Staphylococcus_hominis","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis"
"species-Alloprevotella_tannerae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella tannerae"
"species-Haemophilus_paraphrohaemolyticus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus paraphrohaemolyticus"
"species-_brachy","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis",NA,"[Eubacterium] brachy"
"species-Ruminococcus_sp._CAG-403","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus sp. CAG:403"
"species-Fannyhessea_vaginae","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Fannyhessea","Fannyhessea vaginae"
"species-Cronobacter_malonaticus","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter malonaticus"
"species-Streptococcus_infantis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantis"
"species-Actinomyces_sp._oral_taxon_181","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 181"
"species-Clostridium_butyricum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium butyricum"
"species-Abiotrophia_sp._HMSC24B09","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Abiotrophia sp. HMSC24B09"
"species-Gemella_haemolysans","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella haemolysans"
"species-Firmicutes_bacterium_CAG-170","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:170"
"species-Solobacterium_moorei","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium","Solobacterium moorei"
"species-Pseudomonas_guguanensis","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas guguanensis"
"species-Lactobacillus_jensenii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus jensenii"
"species-Clostridium_cadaveris","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium cadaveris"
"species-Aggregatibacter_sp._oral_taxon_458","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter sp. oral taxon 458"
"species-Anaerocolumna_aminovalerica","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerocolumna","Anaerocolumna aminovalerica"
"species-Clostridium_sporogenes","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sporogenes"
"species-Clostridium_botulinum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium botulinum"
"species-Campylobacter_hominis","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter hominis"
"species-Murimonas_intestini","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Murimonas","Murimonas intestini"
"species-Clostridium_sp._CAG-964","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:964"
"species-Pediococcus_pentosaceus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus pentosaceus"
"species-Corynebacterium_amycolatum","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium amycolatum"
"species-Parvimonas_sp._KA00067","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas","Parvimonas sp. KA00067"
"species-Bacteroidales_bacterium_KA00251","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,"Bacteroidales bacterium KA00251"
"species-Fusobacterium_mortiferum","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium mortiferum"
"species-Lacrimispora_celerecrescens","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","Lacrimispora celerecrescens"
"species-Butyrivibrio_sp._CAG-318","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio sp. CAG:318"
"species-Cellulosilyticum_lentocellum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Cellulosilyticum","Cellulosilyticum lentocellum"
"species-Eubacteriaceae_bacterium_CHKCI005","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae",NA,"Eubacteriaceae bacterium CHKCI005"
"species-Eubacterium_coprostanoligenes","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium coprostanoligenes"
"species-Firmicutes_bacterium_CAG-238","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:238"
"species-Dysgonomonas_gadei","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas gadei"
"species-Bacteroides_fluxus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fluxus"
"species-Bacteroides_sp._D2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. D2"
"species-Citrobacter_farmeri","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter farmeri"
"species-Gemella_sanguinis","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella sanguinis"
"species-Sanguibacteroides_justesenii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Sanguibacteroides","Sanguibacteroides justesenii"
"species-Porphyromonas_endodontalis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas endodontalis"
"species-Streptococcus_peroris","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus peroris"
"species-Actinomyces_sp._HPA0247","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. HPA0247"
"species-Lactiplantibacillus_plantarum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus","Lactiplantibacillus plantarum"
"species-Limosilactobacillus_mucosae","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus mucosae"
"species-Providencia_alcalifaciens","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia alcalifaciens"
"species-Robinsoniella_sp._RHS","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Robinsoniella","Robinsoniella sp. RHS"
"species-Fructilactobacillus_sanfranciscensis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Fructilactobacillus","Fructilactobacillus sanfranciscensis"
"species-Prevotella_sp._CAG-1185","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. CAG:1185"
"species-Peptoniphilus_lacrimalis","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus lacrimalis"
"species-Gemella_morbillorum","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella morbillorum"
"species-Frigoribacterium_sp._Leaf8","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Frigoribacterium","Frigoribacterium sp. Leaf8"
"species-Clostridium_sp._MSTE9","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. MSTE9"
"species-_hylemonae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","[Clostridium] hylemonae"
"species-Treponema_lecithinolyticum","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema lecithinolyticum"
"species-Faecalicoccus_pleomorphus","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalicoccus","Faecalicoccus pleomorphus"
"species-Flavonifractor_sp._An306","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor sp. An306"
"species-Prevotella_oralis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella oralis"
"species-Peptoniphilus_sp._BV3C26","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus sp. BV3C26"
"species-Brachyspira_pilosicoli","Bacteria","Spirochaetes","Spirochaetia","Brachyspirales","Brachyspiraceae","Brachyspira","Brachyspira pilosicoli"
"species-Bacteroides_sp._OM08-11","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. OM08-11"
"species-Proteus_penneri","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus penneri"
"species-Corynebacterium_kroppenstedtii","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium kroppenstedtii"
"species-Faecalitalea_cylindroides","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","Faecalitalea cylindroides"
"species-Wohlfahrtiimonas_chitiniclastica","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,"Wohlfahrtiimonas","Wohlfahrtiimonas chitiniclastica"
"species-Bacteroides_clarus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides clarus"
"species-Acidaminococcus_sp._CAG-542","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus sp. CAG:542"
"species-Peptoniphilus_coxii","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus coxii"
"species-Alistipes_timonensis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes timonensis"
"species-Clostridium_sp._D5","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. D5"
"species-Prevotella_bergensis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella bergensis"
"species-Ruminococcus_sp._CAG-563","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus sp. CAG:563"
"species-Kluyvera_cryocrescens","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera","Kluyvera cryocrescens"
"species-Ezakiella_coagulans","Bacteria","Firmicutes","Tissierellia",NA,NA,"Ezakiella","Ezakiella coagulans"
"species-_pectinophilus","Bacteria","Firmicutes","Clostridia","Eubacteriales",NA,NA,"[Bacteroides] pectinophilus"
"species-Bacteroides_sp._CAG-661","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CAG:661"
"species-Bacteroides_sp._CAG-598","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CAG:598"
"species-Comamonas_kerstersii","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Comamonas kerstersii"
"species-Firmicutes_bacterium_CAG-534","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:534"
"species-Clostridium_sp._CAG-413","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:413"
"species-Schaalia_odontolytica","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica"
"species-Streptococcus_cristatus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus cristatus"
"species-Actinomyces_sp._HMSC035G02","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. HMSC035G02"
"species-Lancefieldella_rimae","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella rimae"
"species-Streptococcus_milleri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus milleri"
"species-Finegoldia_magna","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia","Finegoldia magna"
"species-Lancefieldella_parvula","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella parvula"
"species-Prevotella_oulorum","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella oulorum"
"species-Dellaglioa_algida","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Dellaglioa","Dellaglioa algida"
"species-Lactonifactor_longoviformis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Lactonifactor","Lactonifactor longoviformis"
"species-Hafnia_alvei","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia","Hafnia alvei"
"species-Neisseria_cinerea","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria cinerea"
"species-Corynebacterium_oculi","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium oculi"
"species-Ruminococcus_sp._CAG-488","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus sp. CAG:488"
"species-Corynebacterium_accolens","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium accolens"
"species-Prevotella_sp._S7-1-8","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. S7-1-8"
"species-Campylobacter_ureolyticus","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter ureolyticus"
"species-Atopobium_deltae","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium deltae"
"species-Gleimia_europaea","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Gleimia","Gleimia europaea"
"species-Mitsuokella_jalaludinii","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella jalaludinii"
"species-Mitsuokella_multacida","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella multacida"
"species-Peptoniphilus_sp._HMSC062D09","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus sp. HMSC062D09"
"species-Anaerococcus_lactolyticus","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus lactolyticus"
"species-Granulicatella_adiacens","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","Granulicatella adiacens"
"species-Anaerosporobacter_mobilis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerosporobacter","Anaerosporobacter mobilis"
"species-Clostridium_sp._7_2_43FAA","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. 7_2_43FAA"
"species-Kosakonia_sacchari","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia","Kosakonia sacchari"
"species-Staphylococcus_aureus","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus"
"species-Ligilactobacillus_animalis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus animalis"
"species-Weissella_viridescens","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella viridescens"
"species-Dysgonomonas_sp._37-18","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas sp. 37-18"
"species-Serratia_liquefaciens","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia liquefaciens"
"species-Streptococcus_sp._HPH0090","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. HPH0090"
"species-Anaerostipes_sp._494a","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes sp. 494a"
"species-Lactococcus_petauri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus petauri"
"species-Obesumbacterium_proteus","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Obesumbacterium","Obesumbacterium proteus"
"species-Fusobacterium_sp._oral_taxon_370","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium sp. oral taxon 370"
"species-_methylotrophicum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","[Butyribacterium] methylotrophicum"
"species-Phocaeicola_sartorii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola sartorii"
"species-Bacteroides_sp._CAG-530","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CAG:530"
"species-Megasphaera_elsdenii","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera elsdenii"
"species-Prevotella_sp._CAG-1092","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. CAG:1092"
